cp_ville,Région,Département,Gazole,SP98,SP95,E85,E10,GPLc,Latitude,Longitude,Nombre de stations
01000 Bourg-en-Bresse,Auvergne-Rhône-Alpes,Ain,1.8407142857142857,1.8506666666666665,1.8288,0.993,1.7733999999999999,,46.20379722857143,5.2366706857142855,7
01000 Saint-Denis-lès-Bourg,Auvergne-Rhône-Alpes,Ain,1.8925,1.9220000000000002,1.822,1.0,1.8455,,46.201,5.199,2
01090 Montceaux,Auvergne-Rhône-Alpes,Ain,1.878,1.893,,,1.795,,46.096,4.775,1
01100 Arbent,Auvergne-Rhône-Alpes,Ain,1.8330000000000002,1.92,1.8415,,1.776,0.969,46.27802,5.66141,2
01100 Oyonnax,Auvergne-Rhône-Alpes,Ain,1.87375,1.9166666666666667,1.85,0.9983333333333334,1.814,0.964,46.25725,5.647,4
01110 Plateau d'Hauteville,Auvergne-Rhône-Alpes,Ain,1.844,1.879,,,1.809,,45.978,5.599,1
01120 Dagneux,Auvergne-Rhône-Alpes,Ain,2.0135,2.0745,,1.239,2.0145,,45.846000000000004,5.072,2
01120 La Boisse,Auvergne-Rhône-Alpes,Ain,1.877,1.957,,,1.847,,45.846,5.041,1
01120 Montluel,Auvergne-Rhône-Alpes,Ain,1.799,1.8315000000000001,,0.999,1.759,,45.85,5.0535,2
01130 Le Poizat-Lalleyriat,Auvergne-Rhône-Alpes,Ain,1.87,1.95,1.93,,,,46.167,5.691,1
01130 Nantua,Auvergne-Rhône-Alpes,Ain,1.837,1.899,,,1.817,,46.158,5.604,1
01140 Saint-Didier-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,1.799,,,0.999,1.759,,46.18,4.817,1
01150 Lagnieu,Auvergne-Rhône-Alpes,Ain,1.837,1.879,1.809,,1.804,,45.902,5.346,1
01150 Saint-Vulbas,Auvergne-Rhône-Alpes,Ain,1.927,1.99,,1.099,1.887,,45.839,5.278,1
01160 Neuville-sur-Ain,Auvergne-Rhône-Alpes,Ain,1.785,1.824,,0.998,1.755,,46.074,5.376,1
01160 Pont-d'Ain,Auvergne-Rhône-Alpes,Ain,1.8415,1.9015,1.85,,1.8175,,46.0467801828,5.3398644035850005,2
01170 Gex,Auvergne-Rhône-Alpes,Ain,1.8623333333333332,1.891333333333333,1.862,0.998,1.827,,46.33159,6.0621133333333335,3
01170 Ségny,Auvergne-Rhône-Alpes,Ain,1.832,1.847,1.831,0.993,1.792,,46.293,6.079,1
01190 Saint-Bénigne,Auvergne-Rhône-Alpes,Ain,1.869,1.909,1.879,,,,46.442,4.97,1
01200 Valserhône,Auvergne-Rhône-Alpes,Ain,1.869,1.901,1.849,,1.839,,46.115,5.817500000000001,2
01210 Ferney-Voltaire,Auvergne-Rhône-Alpes,Ain,1.821,1.895,1.825,0.952,1.749,,46.248515,6.106585,2
01220 Divonne-les-Bains,Auvergne-Rhône-Alpes,Ain,1.885,1.915,1.879,,,,46.343,6.141,1
01230 Saint-Rambert-en-Bugey,Auvergne-Rhône-Alpes,Ain,1.92,1.95,1.88,,,,45.942,5.432,1
01230 Torcieu,Auvergne-Rhône-Alpes,Ain,1.94,,1.95,,,,45.921,5.394,1
01250 Ceyzériat,Auvergne-Rhône-Alpes,Ain,1.823,1.841,,0.998,1.769,,46.179720878139,5.3249462851004,1
01250 Jasseron,Auvergne-Rhône-Alpes,Ain,2.072,2.097,,1.229,2.037,1.099,46.2042464125695,5.2952874210046,2
01250 Tossiat,Auvergne-Rhône-Alpes,Ain,1.929,1.919,1.889,,,,46.13408,5.2888,1
